key,value,date
Biodiversity Conservation,1,01/01/04
Biodiversity Conservation,3,01/01/05
Biodiversity Conservation,6,01/01/06
Biodiversity Conservation,9,01/01/07
Biodiversity Conservation,9,01/01/08
Biodiversity Conservation,11,01/01/09
Biodiversity Conservation,9,01/01/10
Biodiversity Conservation,11,01/01/11
Biodiversity Conservation,11,01/01/12
Biodiversity Conservation,7,01/01/13
Biodiversity Conservation,16,01/01/14
Biodiversity Conservation,12,01/01/15
Biodiversity Conservation,6,01/01/16
Biotechnology & Applied Microbiology,16,01/01/00
Biotechnology & Applied Microbiology,17,01/01/01
Biotechnology & Applied Microbiology,10,01/01/02
Biotechnology & Applied Microbiology,14,01/01/03
Biotechnology & Applied Microbiology,16,01/01/04
Biotechnology & Applied Microbiology,18,01/01/05
Biotechnology & Applied Microbiology,20,01/01/06
Biotechnology & Applied Microbiology,32,01/01/07
Biotechnology & Applied Microbiology,22,01/01/08
Biotechnology & Applied Microbiology,36,01/01/09
Biotechnology & Applied Microbiology,34,01/01/10
Biotechnology & Applied Microbiology,52,01/01/11
Biotechnology & Applied Microbiology,18,01/01/12
Biotechnology & Applied Microbiology,18,01/01/13
Biotechnology & Applied Microbiology,14,01/01/14
Biotechnology & Applied Microbiology,27,01/01/15
Biotechnology & Applied Microbiology,24,01/01/16
Chemistry  Applied,4,01/01/00
Chemistry  Applied,2,01/01/01
Chemistry  Applied,1,01/01/02
Chemistry  Applied,3,01/01/03
Chemistry  Applied,4,01/01/04
Chemistry  Applied,6,01/01/05
Chemistry  Applied,7,01/01/06
Chemistry  Applied,7,01/01/07
Chemistry  Applied,16,01/01/08
Chemistry  Applied,8,01/01/09
Chemistry  Applied,8,01/01/10
Chemistry  Applied,10,01/01/11
Chemistry  Applied,9,01/01/12
Chemistry  Applied,11,01/01/13
Chemistry  Applied,10,01/01/14
Chemistry  Applied,16,01/01/15
Chemistry  Applied,14,01/01/16
Ecology,15,01/01/00
Ecology,17,01/01/01
Ecology,22,01/01/02
Ecology,32,01/01/03
Ecology,21,01/01/04
Ecology,25,01/01/05
Ecology,20,01/01/06
Ecology,44,01/01/07
Ecology,29,01/01/08
Ecology,32,01/01/09
Ecology,31,01/01/10
Ecology,36,01/01/11
Ecology,38,01/01/12
Ecology,39,01/01/13
Ecology,33,01/01/14
Ecology,51,01/01/15
Ecology,21,01/01/16
Economics,29,01/01/00
Economics,42,01/01/01
Economics,31,01/01/02
Economics,58,01/01/03
Economics,34,01/01/04
Economics,42,01/01/05
Economics,52,01/01/06
Economics,60,01/01/07
Economics,48,01/01/08
Economics,58,01/01/09
Economics,42,01/01/10
Economics,78,01/01/11
Economics,88,01/01/12
Economics,84,01/01/13
Economics,121,01/01/14
Economics,130,01/01/15
Economics,69,01/01/16
Engineering  Civil,4,01/01/00
Engineering  Civil,2,01/01/01
Engineering  Civil,5,01/01/02
Engineering  Civil,7,01/01/03
Engineering  Civil,8,01/01/04
Engineering  Civil,2,01/01/05
Engineering  Civil,5,01/01/06
Engineering  Civil,5,01/01/07
Engineering  Civil,12,01/01/08
Engineering  Civil,20,01/01/09
Engineering  Civil,7,01/01/10
Engineering  Civil,20,01/01/11
Engineering  Civil,14,01/01/12
Engineering  Civil,27,01/01/13
Engineering  Civil,18,01/01/14
Engineering  Civil,14,01/01/15
Engineering  Civil,11,01/01/16
Entomology,18,01/01/00
Entomology,20,01/01/01
Entomology,19,01/01/02
Entomology,25,01/01/03
Entomology,17,01/01/04
Entomology,20,01/01/05
Entomology,17,01/01/06
Entomology,10,01/01/07
Entomology,21,01/01/08
Entomology,20,01/01/09
Entomology,24,01/01/10
Entomology,23,01/01/11
Entomology,20,01/01/12
Entomology,20,01/01/13
Entomology,16,01/01/14
Entomology,18,01/01/15
Entomology,11,01/01/16
Environmental Sciences,15,01/01/00
Environmental Sciences,22,01/01/01
Environmental Sciences,25,01/01/02
Environmental Sciences,45,01/01/03
Environmental Sciences,36,01/01/04
Environmental Sciences,32,01/01/05
Environmental Sciences,31,01/01/06
Environmental Sciences,56,01/01/07
Environmental Sciences,64,01/01/08
Environmental Sciences,48,01/01/09
Environmental Sciences,45,01/01/10
Environmental Sciences,58,01/01/11
Environmental Sciences,81,01/01/12
Environmental Sciences,99,01/01/13
Environmental Sciences,95,01/01/14
Environmental Sciences,100,01/01/15
Environmental Sciences,60,01/01/16
Environmental Studies,3,01/01/00
Environmental Studies,7,01/01/01
Environmental Studies,2,01/01/02
Environmental Studies,20,01/01/03
Environmental Studies,10,01/01/04
Environmental Studies,5,01/01/05
Environmental Studies,13,01/01/06
Environmental Studies,31,01/01/07
Environmental Studies,18,01/01/08
Environmental Studies,24,01/01/09
Environmental Studies,16,01/01/10
Environmental Studies,23,01/01/11
Environmental Studies,39,01/01/12
Environmental Studies,53,01/01/13
Environmental Studies,58,01/01/14
Environmental Studies,64,01/01/15
Environmental Studies,35,01/01/16
Food Science & Technology,19,01/01/00
Food Science & Technology,9,01/01/01
Food Science & Technology,11,01/01/02
Food Science & Technology,14,01/01/03
Food Science & Technology,17,01/01/04
Food Science & Technology,20,01/01/05
Food Science & Technology,40,01/01/06
Food Science & Technology,31,01/01/07
Food Science & Technology,53,01/01/08
Food Science & Technology,36,01/01/09
Food Science & Technology,19,01/01/10
Food Science & Technology,51,01/01/11
Food Science & Technology,45,01/01/12
Food Science & Technology,66,01/01/13
Food Science & Technology,69,01/01/14
Food Science & Technology,70,01/01/15
Food Science & Technology,45,01/01/16
Forestry,9,01/01/00
Forestry,10,01/01/01
Forestry,11,01/01/02
Forestry,28,01/01/03
Forestry,19,01/01/04
Forestry,23,01/01/05
Forestry,10,01/01/06
Forestry,25,01/01/07
Forestry,29,01/01/08
Forestry,22,01/01/09
Forestry,27,01/01/10
Forestry,44,01/01/11
Forestry,40,01/01/12
Forestry,33,01/01/13
Forestry,40,01/01/14
Forestry,49,01/01/15
Forestry,18,01/01/16
Genetics & Heredity,24,01/01/00
Genetics & Heredity,33,01/01/01
Genetics & Heredity,20,01/01/02
Genetics & Heredity,31,01/01/03
Genetics & Heredity,28,01/01/04
Genetics & Heredity,28,01/01/05
Genetics & Heredity,26,01/01/06
Genetics & Heredity,29,01/01/07
Genetics & Heredity,25,01/01/08
Genetics & Heredity,49,01/01/09
Genetics & Heredity,42,01/01/10
Genetics & Heredity,48,01/01/11
Genetics & Heredity,63,01/01/12
Genetics & Heredity,45,01/01/13
Genetics & Heredity,50,01/01/14
Genetics & Heredity,60,01/01/15
Genetics & Heredity,32,01/01/16
Geosciences  Multidisciplinary,5,01/01/00
Geosciences  Multidisciplinary,3,01/01/01
Geosciences  Multidisciplinary,5,01/01/02
Geosciences  Multidisciplinary,6,01/01/03
Geosciences  Multidisciplinary,6,01/01/04
Geosciences  Multidisciplinary,8,01/01/05
Geosciences  Multidisciplinary,5,01/01/06
Geosciences  Multidisciplinary,11,01/01/07
Geosciences  Multidisciplinary,15,01/01/08
Geosciences  Multidisciplinary,14,01/01/09
Geosciences  Multidisciplinary,9,01/01/10
Geosciences  Multidisciplinary,12,01/01/11
Geosciences  Multidisciplinary,13,01/01/12
Geosciences  Multidisciplinary,18,01/01/13
Geosciences  Multidisciplinary,13,01/01/14
Geosciences  Multidisciplinary,17,01/01/15
Geosciences  Multidisciplinary,20,01/01/16
Green & Sustainable Science & Technology,0,01/01/00
Green & Sustainable Science & Technology,0,01/01/01
Green & Sustainable Science & Technology,1,01/01/02
Green & Sustainable Science & Technology,0,01/01/03
Green & Sustainable Science & Technology,1,01/01/04
Green & Sustainable Science & Technology,2,01/01/05
Green & Sustainable Science & Technology,1,01/01/06
Green & Sustainable Science & Technology,1,01/01/07
Green & Sustainable Science & Technology,7,01/01/08
Green & Sustainable Science & Technology,3,01/01/09
Green & Sustainable Science & Technology,0,01/01/10
Green & Sustainable Science & Technology,15,01/01/11
Green & Sustainable Science & Technology,12,01/01/12
Green & Sustainable Science & Technology,11,01/01/13
Green & Sustainable Science & Technology,21,01/01/14
Green & Sustainable Science & Technology,16,01/01/15
Green & Sustainable Science & Technology,13,01/01/16
Horticulture,21,01/01/00
Horticulture,42,01/01/01
Horticulture,22,01/01/02
Horticulture,47,01/01/03
Horticulture,29,01/01/04
Horticulture,32,01/01/05
Horticulture,51,01/01/06
Horticulture,44,01/01/07
Horticulture,35,01/01/08
Horticulture,56,01/01/09
Horticulture,41,01/01/10
Horticulture,52,01/01/11
Horticulture,57,01/01/12
Horticulture,60,01/01/13
Horticulture,40,01/01/14
Horticulture,56,01/01/15
Horticulture,38,01/01/16
Meteorology & Atmospheric Sciences,2,01/01/00
Meteorology & Atmospheric Sciences,2,01/01/01
Meteorology & Atmospheric Sciences,6,01/01/02
Meteorology & Atmospheric Sciences,4,01/01/03
Meteorology & Atmospheric Sciences,6,01/01/04
Meteorology & Atmospheric Sciences,3,01/01/05
Meteorology & Atmospheric Sciences,6,01/01/06
Meteorology & Atmospheric Sciences,6,01/01/07
Meteorology & Atmospheric Sciences,17,01/01/08
Meteorology & Atmospheric Sciences,7,01/01/09
Meteorology & Atmospheric Sciences,5,01/01/10
Meteorology & Atmospheric Sciences,5,01/01/11
Meteorology & Atmospheric Sciences,11,01/01/12
Meteorology & Atmospheric Sciences,25,01/01/13
Meteorology & Atmospheric Sciences,18,01/01/14
Meteorology & Atmospheric Sciences,21,01/01/15
Meteorology & Atmospheric Sciences,10,01/01/16
Multidisciplinary Sciences,5,01/01/00
Multidisciplinary Sciences,2,01/01/01
Multidisciplinary Sciences,6,01/01/02
Multidisciplinary Sciences,4,01/01/03
Multidisciplinary Sciences,5,01/01/04
Multidisciplinary Sciences,3,01/01/05
Multidisciplinary Sciences,7,01/01/06
Multidisciplinary Sciences,10,01/01/07
Multidisciplinary Sciences,10,01/01/08
Multidisciplinary Sciences,12,01/01/09
Multidisciplinary Sciences,6,01/01/10
Multidisciplinary Sciences,22,01/01/11
Multidisciplinary Sciences,22,01/01/12
Multidisciplinary Sciences,38,01/01/13
Multidisciplinary Sciences,37,01/01/14
Multidisciplinary Sciences,53,01/01/15
Multidisciplinary Sciences,43,01/01/16
Nutrition & Dietetics,15,01/01/00
Nutrition & Dietetics,8,01/01/01
Nutrition & Dietetics,11,01/01/02
Nutrition & Dietetics,10,01/01/03
Nutrition & Dietetics,9,01/01/04
Nutrition & Dietetics,21,01/01/05
Nutrition & Dietetics,20,01/01/06
Nutrition & Dietetics,19,01/01/07
Nutrition & Dietetics,24,01/01/08
Nutrition & Dietetics,24,01/01/09
Nutrition & Dietetics,6,01/01/10
Nutrition & Dietetics,25,01/01/11
Nutrition & Dietetics,24,01/01/12
Nutrition & Dietetics,36,01/01/13
Nutrition & Dietetics,52,01/01/14
Nutrition & Dietetics,33,01/01/15
Nutrition & Dietetics,25,01/01/16
Parasitology,13,01/01/00
Parasitology,14,01/01/01
Parasitology,10,01/01/02
Parasitology,13,01/01/03
Parasitology,22,01/01/04
Parasitology,11,01/01/05
Parasitology,5,01/01/06
Parasitology,6,01/01/07
Parasitology,4,01/01/08
Parasitology,10,01/01/09
Parasitology,15,01/01/10
Parasitology,2,01/01/11
Parasitology,5,01/01/12
Parasitology,2,01/01/13
Parasitology,10,01/01/14
Parasitology,7,01/01/15
Parasitology,8,01/01/16
Planning & Development,8,01/01/00
Planning & Development,15,01/01/01
Planning & Development,13,01/01/02
Planning & Development,18,01/01/03
Planning & Development,11,01/01/04
Planning & Development,12,01/01/05
Planning & Development,19,01/01/06
Planning & Development,14,01/01/07
Planning & Development,23,01/01/08
Planning & Development,31,01/01/09
Planning & Development,14,01/01/10
Planning & Development,38,01/01/11
Planning & Development,39,01/01/12
Planning & Development,28,01/01/13
Planning & Development,55,01/01/14
Planning & Development,66,01/01/15
Planning & Development,40,01/01/16
Plant Sciences,89,01/01/00
Plant Sciences,98,01/01/01
Plant Sciences,81,01/01/02
Plant Sciences,109,01/01/03
Plant Sciences,98,01/01/04
Plant Sciences,103,01/01/05
Plant Sciences,130,01/01/06
Plant Sciences,121,01/01/07
Plant Sciences,114,01/01/08
Plant Sciences,161,01/01/09
Plant Sciences,113,01/01/10
Plant Sciences,140,01/01/11
Plant Sciences,141,01/01/12
Plant Sciences,141,01/01/13
Plant Sciences,121,01/01/14
Plant Sciences,160,01/01/15
Plant Sciences,105,01/01/16
Public  Environmental & Occupational Health,2,01/01/00
Public  Environmental & Occupational Health,3,01/01/01
Public  Environmental & Occupational Health,8,01/01/02
Public  Environmental & Occupational Health,8,01/01/03
Public  Environmental & Occupational Health,9,01/01/04
Public  Environmental & Occupational Health,10,01/01/05
Public  Environmental & Occupational Health,15,01/01/06
Public  Environmental & Occupational Health,8,01/01/07
Public  Environmental & Occupational Health,8,01/01/08
Public  Environmental & Occupational Health,10,01/01/09
Public  Environmental & Occupational Health,12,01/01/10
Public  Environmental & Occupational Health,10,01/01/11
Public  Environmental & Occupational Health,7,01/01/12
Public  Environmental & Occupational Health,12,01/01/13
Public  Environmental & Occupational Health,13,01/01/14
Public  Environmental & Occupational Health,17,01/01/15
Public  Environmental & Occupational Health,11,01/01/16
Soil Science,66,01/01/00
Soil Science,35,01/01/01
Soil Science,44,01/01/02
Soil Science,33,01/01/03
Soil Science,38,01/01/04
Soil Science,32,01/01/05
Soil Science,38,01/01/06
Soil Science,42,01/01/07
Soil Science,36,01/01/08
Soil Science,45,01/01/09
Soil Science,49,01/01/10
Soil Science,37,01/01/11
Soil Science,23,01/01/12
Soil Science,25,01/01/13
Soil Science,23,01/01/14
Soil Science,29,01/01/15
Soil Science,38,01/01/16
Veterinary Sciences,8,01/01/00
Veterinary Sciences,18,01/01/01
Veterinary Sciences,16,01/01/02
Veterinary Sciences,11,01/01/03
Veterinary Sciences,13,01/01/04
Veterinary Sciences,10,01/01/05
Veterinary Sciences,16,01/01/06
Veterinary Sciences,21,01/01/07
Veterinary Sciences,16,01/01/08
Veterinary Sciences,18,01/01/09
Veterinary Sciences,14,01/01/10
Veterinary Sciences,18,01/01/11
Veterinary Sciences,30,01/01/12
Veterinary Sciences,19,01/01/13
Veterinary Sciences,20,01/01/14
Veterinary Sciences,24,01/01/15
Veterinary Sciences,28,01/01/16
Water Resources,10,01/01/00
Water Resources,20,01/01/01
Water Resources,23,01/01/02
Water Resources,26,01/01/03
Water Resources,29,01/01/04
Water Resources,29,01/01/05
Water Resources,48,01/01/06
Water Resources,44,01/01/07
Water Resources,58,01/01/08
Water Resources,72,01/01/09
Water Resources,29,01/01/10
Water Resources,49,01/01/11
Water Resources,56,01/01/12
Water Resources,64,01/01/13
Water Resources,63,01/01/14
Water Resources,54,01/01/15
Water Resources,47,01/01/16
